geoid,name,B03002001,"B03002001, Error",B03002002,"B03002002, Error",B03002003,"B03002003, Error",B03002004,"B03002004, Error",B03002005,"B03002005, Error",B03002006,"B03002006, Error",B03002007,"B03002007, Error",B03002008,"B03002008, Error",B03002009,"B03002009, Error",B03002010,"B03002010, Error",B03002011,"B03002011, Error",B03002012,"B03002012, Error",B03002013,"B03002013, Error",B03002014,"B03002014, Error",B03002015,"B03002015, Error",B03002016,"B03002016, Error",B03002017,"B03002017, Error",B03002018,"B03002018, Error",B03002019,"B03002019, Error",B03002020,"B03002020, Error",B03002021,"B03002021, Error"
86000US90232,90232,14810,626,11262,625,7294,571,954,290,2,4,2363,418,0,19,0,19,649,202,20,34,629,200,3548,481,2794,468,40,66,5,9,29,28,0,19,571,292,109,87,30,40,79,72
86000US90245,90245,16901,27,13827,472,11275,517,275,125,22,35,1259,240,28,25,15,19,953,329,0,19,953,329,3074,470,2173,459,11,17,60,60,0,19,33,51,412,220,385,225,214,153,171,143
86000US90247,90247,47706,1147,25166,886,3192,457,9061,740,59,51,11735,731,68,57,210,136,841,242,62,88,779,233,22540,1174,8553,1116,152,86,105,91,139,58,0,25,12852,1490,739,253,444,196,295,136
86000US90248,90248,10592,706,6268,544,989,201,1712,421,17,23,3313,317,23,22,40,47,174,88,0,19,174,88,4324,639,2376,558,55,47,4,7,101,86,0,19,1652,448,136,80,128,81,8,12
86000US90250,90250,96987,1271,42908,1636,10488,804,20416,1441,85,65,6534,690,781,514,411,202,4193,833,105,78,4088,826,54079,1945,25511,1970,418,165,380,219,210,123,36,52,22585,1890,4939,1200,889,314,4050,1103
86000US90262,90262,71197,108,8560,753,1647,288,6070,736,57,61,498,163,128,123,62,44,98,80,0,28,98,80,62637,773,37177,1665,262,160,413,228,42,38,0,28,23748,1589,995,316,506,188,489,225
86000US90265,90265,18394,438,16742,530,14722,546,347,138,57,59,869,220,7,10,5,7,735,315,30,46,705,286,1652,351,1087,288,0,19,13,24,29,37,0,19,343,151,180,188,121,137,59,82
86000US90272,90272,23151,774,22074,755,19326,735,283,192,28,33,1199,222,2,4,8,13,1228,366,8,15,1220,363,1077,274,999,270,0,22,1,4,0,22,0,22,40,32,37,39,17,18,20,35
86000US90275,90275,42545,93,38304,631,23033,808,916,378,18,29,11736,661,394,309,179,196,2028,490,232,226,1796,456,4241,634,2818,610,28,35,0,25,62,58,0,25,893,366,440,222,343,215,97,61
86000US90280,90280,95219,38,4429,473,2943,400,690,282,0,28,470,171,108,61,30,43,188,75,0,28,188,75,90790,477,52518,2159,287,146,416,185,34,31,7,11,35852,1971,1676,518,1004,373,672,284
86000US90290,90290,5974,681,5701,661,5287,599,47,53,17,26,199,143,0,17,31,56,120,102,8,15,112,98,273,163,187,119,46,71,0,17,0,17,0,17,17,44,23,36,0,17,23,36
86000US90291,90291,27277,796,21969,710,18291,793,1393,369,36,28,1123,245,16,28,45,51,1065,329,0,22,1065,329,5308,544,4020,629,53,41,119,115,0,22,0,22,908,342,208,87,101,51,107,60
86000US90292,90292,22482,1371,20647,1263,16404,1224,1444,593,0,22,1746,458,99,107,378,234,576,217,34,53,542,220,1835,499,1318,374,0,22,0,22,0,22,0,22,436,266,81,72,68,70,13,22
86000US90293,90293,12649,797,10818,831,7920,703,643,309,35,31,1470,393,0,19,91,82,659,237,17,33,642,234,1831,394,828,265,53,61,36,57,72,100,0,19,772,295,70,48,29,28,41,47
86000US90301,90301,36429,1170,13652,1156,1212,262,11050,1055,59,56,433,202,0,25,210,163,688,247,58,65,630,258,22777,1145,9626,1086,338,169,305,195,38,49,0,25,11428,1086,1042,436,453,266,589,421
86000US90302,90302,31064,1078,17721,1004,1845,284,14620,1036,25,23,349,135,155,122,131,95,596,222,68,100,528,195,13343,890,7358,969,431,358,150,168,0,25,0,25,4774,981,630,341,286,211,344,280
86000US90303,90303,25134,813,10187,590,551,230,8660,506,5,9,255,166,51,76,39,47,626,287,18,21,608,287,14947,797,6056,834,247,179,120,67,0,22,0,22,8218,934,306,181,97,99,209,148
86000US90304,90304,27008,1149,2435,537,765,303,936,391,7,11,617,305,0,22,88,87,22,19,0,22,22,19,24573,1207,10538,1163,352,351,226,201,0,22,0,22,12958,1427,499,291,223,137,276,221
86000US90305,90305,15777,1193,13364,775,440,229,12196,650,12,16,185,103,109,96,114,110,308,190,8,13,300,189,2413,764,1430,725,50,36,0,19,0,19,37,53,892,379,4,9,0,19,4,9
86000US90402,90402,11410,639,10649,589,9285,564,88,92,0,19,901,209,0,19,21,33,354,160,0,19,354,160,761,270,701,261,0,19,0,19,12,19,0,19,0,19,48,52,25,32,23,36
86000US90403,90403,24539,795,22271,808,18540,842,498,228,27,45,2278,439,76,72,10,16,842,276,41,42,801,277,2268,572,1606,335,40,46,256,375,31,33,0,22,198,107,137,93,84,74,53,58
86000US90404,90404,22201,740,15896,763,10757,601,1503,319,14,23,2681,429,15,18,45,37,881,266,32,30,849,262,6305,639,4715,618,57,44,42,57,10,16,0,22,1270,557,211,123,113,78,98,93
86000US90405,90405,28861,870,24223,841,18812,824,1021,436,25,32,2682,464,0,22,72,69,1611,441,29,33,1582,441,4638,486,3828,462,19,35,37,32,20,32,0,22,602,242,132,117,43,57,89,101
86000US90501,90501,43405,1311,25156,1003,10489,649,2485,615,139,104,10227,770,288,266,195,221,1333,337,162,108,1171,310,18249,1383,7654,1174,194,235,86,78,64,54,0,25,8680,1239,1571,602,980,481,591,283
86000US90502,90502,17855,961,10941,854,2617,467,1583,447,13,17,6176,687,47,65,39,44,466,188,12,20,454,187,6914,696,3307,744,10,16,47,50,41,33,0,19,3111,722,398,177,86,71,312,164
86000US90504,90504,33609,934,25207,1130,9063,750,1003,327,78,61,12951,831,93,97,127,105,1892,386,287,224,1605,363,8402,896,4131,739,52,82,147,188,343,171,0,25,2682,787,1047,332,699,292,348,159
86000US90710,90710,27914,933,15688,757,5318,458,3513,499,8,13,5216,558,543,306,12,18,1078,321,21,32,1057,315,12226,970,5772,892,53,47,147,105,113,106,0,22,5031,786,1110,419,256,91,854,416
86000US90717,90717,21658,415,14442,720,9280,702,817,236,22,30,3190,444,35,52,78,82,1020,334,78,87,942,298,7216,781,3667,741,13,20,54,89,13,19,27,40,2477,604,965,399,295,186,670,326
86000US90731,90731,61046,1813,27967,1374,18019,1026,4672,693,56,37,2631,552,231,238,170,124,2188,440,19,24,2169,434,33079,1775,18221,1548,206,151,221,129,188,90,44,48,11479,1265,2720,665,1370,440,1350,564
86000US90732,90732,21763,1131,15489,848,11560,781,655,203,30,34,2126,387,31,34,51,34,1036,282,78,99,958,259,6274,810,3898,595,33,40,24,28,25,19,0,22,1498,554,796,289,464,221,332,211
86000US90744,90744,57432,1335,5483,532,2662,440,824,196,165,125,1213,334,195,144,16,17,408,144,49,58,359,135,51949,1422,31398,1617,190,168,3014,674,150,111,115,95,15408,1164,1674,470,817,285,857,321
86000US90745,90745,57785,950,32266,974,4596,532,3940,716,133,101,20350,935,1292,453,33,31,1922,539,149,149,1773,514,25519,1066,13760,1143,146,75,354,246,349,144,41,68,8382,1155,2487,582,605,218,1882,550
86000US90802,90802,39873,1382,25065,1181,13814,806,6339,864,177,106,3504,656,304,226,44,36,883,246,29,33,854,239,14808,1407,9282,1225,350,240,510,389,74,84,0,25,3799,840,793,239,321,133,472,177
86000US90810,90810,37422,1092,18767,938,2160,364,4462,609,166,166,8474,774,1821,734,189,140,1495,393,31,39,1464,390,18655,920,12263,1216,65,60,358,271,238,196,60,59,4670,1001,1001,403,274,147,727,381
86000US90813,90813,60997,1488,21460,1171,3982,457,6380,805,28,25,8789,798,209,172,38,34,2034,454,78,58,1956,453,39537,1563,26337,1681,690,407,1644,551,231,199,0,28,9116,1343,1519,379,421,150,1098,370
86000US91011,91011,20679,165,18805,498,12025,541,69,59,0,22,5966,465,0,22,53,59,692,203,0,22,692,203,1874,485,1291,432,0,22,0,22,7,11,0,22,246,138,330,201,240,172,90,96
86000US91030,91030,25905,57,20781,530,10923,660,661,233,14,25,7614,664,34,29,149,104,1386,368,24,28,1362,366,5124,529,3068,547,61,87,0,22,85,92,0,22,1334,335,576,373,494,361,82,48
86000US91040,91040,19587,1021,14962,868,12406,894,354,184,19,21,1613,375,0,19,89,57,481,285,13,21,468,286,4625,628,3544,663,0,19,56,85,74,59,0,19,652,270,299,157,154,109,145,116
86000US91042,91042,27164,1107,19399,910,15765,931,550,264,76,88,1876,279,254,317,117,125,761,254,66,100,695,249,7765,879,4159,804,0,22,41,50,0,22,16,23,3348,649,201,103,149,99,52,59
86000US91105,91105,11728,685,9875,725,6729,441,696,254,5,10,2006,633,0,19,114,82,325,138,0,19,325,138,1853,418,1189,344,0,19,17,28,10,16,0,19,549,268,88,78,70,76,18,21
